databaseName,schemaName,tableName,columnName,dataType,length,nullable,defaultValue,ordinalPosition
DB2_A,LEGACY_A,CUSTOMER,ID,INTEGER,10,NO,,1
DB2_A,LEGACY_A,CUSTOMER,NAME,VARCHAR,50,YES,,2
DB2_A,LEGACY_A,CUSTOMER,STATUS,CHAR,1,NO,A,3
DB2_A,LEGACY_A,ORDER_HEADER,ID,INTEGER,10,NO,,1
DB2_A,LEGACY_A,ORDER_HEADER,AMOUNT,DECIMAL,"12,2",NO,0,2
DB2_A,LEGACY_A,ORDER_HEADER,STATUS,CHAR,1,NO,N,3
DB2_A,LEGACY_A,PRODUCT,ID,INTEGER,10,NO,,1
DB2_A,LEGACY_A,PRODUCT,CODE,VARCHAR,20,NO,,2
DB2_A,LEGACY_A,PRODUCT,ACTIVE_FLAG,CHAR,1,NO,Y,3
DB2_A,LEGACY_B,REGION,ID,INTEGER,10,NO,,1
DB2_A,LEGACY_B,REGION,REGION_NAME,VARCHAR,40,YES,,2
DB2_A,LEGACY_B,REGION,ENABLED,CHAR,1,NO,Y,3
DB2_A,LEGACY_B,ACCOUNT,ID,INTEGER,10,NO,,1
DB2_A,LEGACY_B,ACCOUNT,ACCOUNT_NO,VARCHAR,24,NO,,2
DB2_A,LEGACY_B,ACCOUNT,BALANCE,DECIMAL,"14,2",YES,0,3
