databaseName,schemaName,tableName,columnName,dataType,length,nullable,defaultValue,ordinalPosition
GAUSS,VIEW_APP_A,CUSTOMER_VIEW,ID,INTEGER,10,NO,,1
GAUSS,VIEW_APP_A,CUSTOMER_VIEW,NAME,VARCHAR,60,YES,,2
GAUSS,VIEW_APP_A,CUSTOMER_VIEW,STATUS,CHAR,1,NO,A,3
GAUSS,VIEW_APP_A,ORDER_HEADER_VIEW,ID,INTEGER,10,NO,,1
GAUSS,VIEW_APP_A,ORDER_HEADER_VIEW,AMOUNT,DECIMAL,"12,2",NO,0,2
GAUSS,VIEW_APP_A,ORDER_HEADER_VIEW,STATUS,VARCHAR,2,NO,N,3
GAUSS,VIEW_APP_A,PRODUCT_VIEW,ID,INTEGER,10,NO,,1
GAUSS,VIEW_APP_A,PRODUCT_VIEW,CODE,VARCHAR,20,NO,,2
GAUSS,VIEW_APP_A,PRODUCT_VIEW,ACTIVE_FLAG,CHAR,1,NO,N,3
GAUSS,VIEW_APP_B,REGION_VIEW,ID,INTEGER,10,NO,,1
GAUSS,VIEW_APP_B,REGION_VIEW,REGION_NAME,VARCHAR,40,YES,,2
GAUSS,VIEW_APP_B,REGION_VIEW,ENABLED,CHAR,1,YES,Y,3
GAUSS,VIEW_APP_B,ACCOUNT_VIEW,ID,INTEGER,10,NO,,1
GAUSS,VIEW_APP_B,ACCOUNT_VIEW,ACCOUNT_NO,VARCHAR,24,NO,,2
